"Data": "25/09/25 07:00",
"TRATAMENTO ACIDO": "2X RESINAGEM",
"ACABAMENTO": "3X RESINAGEM",
"IMPERMEABILIZAR": "3X RESINAGEM"
}
],
"PROCESSO": [
{
"CODIGO": "195395 R.140",
"PRODUITO(DESCRICAO)": "1790 900,00"
},
{
"CODIGO": "14364 CA.30PH",
"PRODUITO(DESCRICAO)": "1795 0,240"
}
],
"Nº DO BLOCO": "32392",
"QTD CHAPAS": "3",
"NOME DO MATERIAL": "ALPINUS",
"HORA INICIAL": "15:00",
"HORA FINAL": "19:00",
"TEMP. °C": "38"
}

{
"CONTROLE DE RESINAGEM E TELAGEM": {
"Código": "FIA-DE-009",
"Date": "20/08/2024",
"Revisto": "08"
},
"NF DO BLOGO": {
"QTD CHAPAS": "NOME DO MATERIAL",
"HORA INICIAL": "HORA INICIAL",
"TEMPERATURA °C": ""
},
"CHAPAS PROCESSADAS": {
"TELAGEMA/ CALAPETAR ESTRUTURAR RETOQUE REALCE DE COR RETRABALHO TRATAMENTO ACIDO ACABAMENTO MPERMEABILIZAR 3x RESINAGEM COORDIO PRODUITO / DESCRIÇÃO QTD TOTAL P/ BLCOCOSO": {
"COORDIO": "PRODUITO / DESCRIÇÃO",
"QTD TOTAL P/ BLCOCOSO": ""
}
},
"PROCESSO": {
"CÓRIGO": "PRODUITO / DESCRIÇÃO",
"QTD TOTAL P/ BLCOCOSO": ""
}
}
